PID	Street Address	MBLU	Book&Page	Assessment	Appraisal	Lot Size (acres)	Land Use Code	Description	Zoning District	# Buildings	Appr. Year	Improvements	Land	Total	Recent Sale Price	Recent Sale Date	Prev Sale Price	Prev Sale Date	Prev. Ass. Imp	Prev. Ass. Land	Prev. Ass. Tot	Prev. App. Imp	Prev. App. Land	Prev. App. Tot	
491	522 RIVER RD	404/  16/  /  / 	  4471/ 958	$533,400	$919,600	103	1010	SINGLE FAM MDL01	RD	1	2021	$311,300	$608,300	$919,600	$500,000	10/09/2019	$4,000	01/12/1996	$439,800	$259,200	$699,000	$439,800	$607,900	$1,047,700	20:14:00	538
511	9 GREGORY RD	404/  36/  /  / 	  2497/0846	$408,600	$408,600	2.5	1010	SINGLE FAM MDL01	RD	1	2021	$196,100	$212,500	$408,600	$113,000	11/03/2000			$190,500	$202,000	$392,500	$190,500	$202,000	$392,500	20:14:01	539
335	12 MAPLE LN	402/  41/  /  / 	  3871/0366	$260,600	$260,600	2.7	1010	SINGLE FAM MDL01	RD	1	2021	$103,500	$157,100	$260,600	$1	03/23/2012	$177,000	05/31/2002	$121,500	$119,100	$240,600	$121,500	$119,100	$240,600	20:14:02	540
337	17 MAPLE LN	402/  43/  /  / 	  4414/0124	$827,800	$827,800	3.00	1090	MULTI HSES	RD	2	2021	$630,400	$197,400	$827,800	$875,000	01/29/2019	$735,000	06/16/2011	$656,400	$120,600	$777,000	$656,400	$120,600	$777,000	20:14:03	541
347	163 DARTMOUTH COLLEGE HY	402/  52/  /  / 	  3519/0397	$27,400	$302,300	31.00	1060	AC LND IMP	RD	1	2021	$8,800	$293,500	$302,300	$300,000	05/20/2008			$8,200	$16,000	$24,200	$8,200	$241,900	$250,100	20:14:04	542
350	199 DARTMOUTH COLLEGE HY	402/  55/  /  / 	  3767/0941	$52,200	$52,200	15.8	9200	NON PROFIT  MDL-00	RD	1	2021	$0	$52,200	$52,200	$0	01/10/2011	$35,000	12/03/1999	$0	$45,700	$45,700	$0	$45,700	$45,700	20:14:05	543
379	130 RIVER RD	402/  81/  /  / 	  3931/0669	$178,600	$178,600	1	1030	MOBILE HOM  MDL-02	RD	1	2021	$60,600	$118,000	$178,600	$0	11/09/2012	$125,000	07/20/2012	$39,200	$104,100	$143,300	$39,200	$104,100	$143,300	20:14:06	544
383	96 RIVER RD	401/  79/  /  / 	  4102/0209	$5,000	$376,700	76	6235	HWUNR-5	RD	1	2021	$0	$376,700	$376,700	$200,000	12/19/2014			$0	$5,000	$5,000	$0	$314,100	$314,100	20:14:07	545
208	47 GOOSE POND RD	401/  19/  /  / 	  2430/0042	$323,000	$323,000	1.2	1010	SINGLE FAM MDL01	RD	1	2021	$180,600	$142,400	$323,000	$0	11/02/1999	$12,000	08/26/1966	$172,800	$98,300	$271,100	$172,800	$98,300	$271,100	20:14:07	546
222	5 PELTON LN	401/  26/  /  / 	  2421/0725	$437,800	$437,800	5.05	1010	SINGLE FAM MDL01	RD	1	2021	$269,100	$168,700	$437,800	$227,500	09/28/1999	$46,000	10/10/1995	$232,300	$126,700	$359,000	$232,300	$126,700	$359,000	20:14:08	547
102691	42 HARDSCRABBLE LN	415/  10/  /  / 	  4573/ 775	$1,092,900	$1,265,100	35	1010	SINGLE FAM MDL01	RD	1	2021	$791,100	$474,000	$1,265,100	$0	11/10/2020			$718,300	$355,800	$1,074,100	$718,300	$475,300	$1,193,600	20:14:09	548
1061	216 BAKER HILL RD	410/  6/  /  / 	  3971/0540	$326,400	$326,400	7.9	1061	ACESRYBLDG  MDL-01	RD	1	2021	$132,200	$194,200	$326,400	$0	04/18/2013	$320,000	02/02/2009	$123,300	$155,500	$278,800	$123,300	$155,500	$278,800	20:14:10	549
1064	190 BAKER HILL RD	410/  9/  1000/  / 	  2895/0200	$692,200	$1,013,200	55.4	1010	SINGLE FAM MDL01	RD	1	2021	$536,700	$476,500	$1,013,200	$850,000	09/22/2003	$112,942	11/03/1989	$492,900	$121,100	$614,000	$492,900	$412,100	$905,000	20:14:11	550
1068	172 BAKER HILL RD	410/  10/  1000/  / 	  4188/ 546	$813,500	$956,900	40.52	1010	SINGLE FAM MDL01	RD	1	2021	$620,900	$336,000	$956,900	$0	12/23/2015	$490,000	08/12/1996	$607,300	$148,600	$755,900	$607,300	$278,500	$885,800	20:14:12	551
325	204 DARTMOUTH COLLEGE HY	402/  31/  /  / 	  2338/0366	$1,001,800	$1,001,800	5.9	3560	PROF ASSOC	RD	1	2021	$750,700	$251,100	$1,001,800	$150,000	08/26/1998	$77,500	05/09/1997	$713,100	$197,900	$911,000	$713,100	$197,900	$911,000	20:14:13	552
795	121 PINNACLE RD	407/  104/  /  / 	  1475/0329	$397,200	$397,200	3.3	1010	SINGLE FAM MDL01	RD	1	2021	$236,000	$161,200	$397,200	$0				$200,700	$124,300	$325,000	$200,700	$124,300	$325,000	20:14:13	553
796	153 PINNACLE RD	407/  106/  /  / 	  2211/0032	$149,500	$149,500	0.32	1010	SINGLE FAM MDL01	RD	1	2021	$55,500	$94,000	$149,500	$0	08/05/1996	$4,000	12/14/1994	$48,000	$53,000	$101,000	$48,000	$53,000	$101,000	20:14:14	554
797	1 ORFORDVILLE RD	407/  107/  /  / 	  4074/0134	$750,300	$750,300	5.1	1080	SFR/ACC UNIT	RD	1	2021	$535,400	$214,900	$750,300	$440,000	08/04/2014			$529,200	$183,900	$713,100	$529,200	$183,900	$713,100	20:14:15	555
798	11 ORFORDVILLE RD	407/  108/  /  / 	  3834/0242	$154,000	$462,500	183	1060	AC LND IMP	RD	1	2021	$5,400	$457,100	$462,500	$100,000	11/10/2011			$5,200	$133,200	$138,400	$5,200	$411,900	$417,100	20:14:16	556
801	92 HIGHBRIDGE RD	407/  111/  /  / 	  2572/0510	$611,500	$1,074,800	107.82	1010	SINGLE FAM MDL01	RD	1	2021	$395,700	$679,100	$1,074,800	$260,000	07/23/2001	$100,000	04/29/1992	$384,700	$192,800	$577,500	$384,700	$612,000	$996,700	20:14:17	557
334	114 RIVER RD	402/  40/  /  / 	  2095/0244	$635,200	$778,000	68.9	1010	SINGLE FAM MDL01	RD	1	2021	$459,600	$318,400	$778,000	$110,000	06/15/1994	$50,000	12/31/1973	$375,400	$154,800	$530,200	$375,400	$284,300	$659,700	20:14:18	558
336	11 MAPLE LN	402/  42/  /  / 	  1614/0099	$369,000	$369,000	3.4	1010	SINGLE FAM MDL01	RD	1	2021	$210,700	$158,300	$369,000	$26,000	08/13/1986			$205,600	$120,200	$325,800	$205,600	$120,200	$325,800	20:14:18	559
339	48 SHOESTRAP RD	402/  45/  /  / 	  3804/0607	$293,300	$293,300	0.95	1010	SINGLE FAM MDL01	RD	1	2021	$153,000	$140,300	$293,300	$289,000	07/07/2011	$250,000	03/02/2007	$170,300	$89,400	$259,700	$170,300	$89,400	$259,700	20:14:19	560
340	38 SHOESTRAP RD	402/  46/  /  / 	  2328/0597	$588,200	$588,200	7.4	1010	SINGLE FAM MDL01	RD	1	2021	$389,200	$199,000	$588,200	$310,000	07/14/1998	$180,000	07/07/1989	$350,400	$132,800	$483,200	$350,400	$132,800	$483,200	20:14:22	561
341	30 SHOESTRAP RD	402/  47/  /  / 	  4497/ 852	$315,400	$315,400	0.34	1090	MULTI HSES	RD	2	2021	$191,600	$123,800	$315,400	$280,000	01/30/2020			$149,100	$80,700	$229,800	$149,100	$80,700	$229,800	20:14:23	562
343	28 SHOESTRAP RD	402/  48/  /  / 	  4060/0082	$435,600	$435,600	7	1010	SINGLE FAM MDL01		1	2021	$238,400	$197,200	$435,600	$385,000	06/04/2014	$287,000	01/22/2003	$220,700	$159,000	$379,700	$220,700	$159,000	$379,700	20:14:25	563
344	16 SHOESTRAP RD	402/  49/  /  / 	002772/0322	$375,000	$770,000	93.00	1010	SINGLE FAM MDL01	RD	1	2021	$265,500	$504,500	$770,000	$0	11/18/2002			$178,700	$100,400	$279,100	$178,700	$452,100	$630,800	20:14:26	564
345	2 SHOESTRAP RD	402/  50/  /  / 	  4120/0788	$441,600	$441,600	3.78	1010	SINGLE FAM MDL01	RD	1	2021	$288,300	$153,300	$441,600	$274,000	04/13/2015	$13,000	07/06/1959	$248,600	$119,100	$367,700	$248,600	$119,100	$367,700	20:14:27	565
346	155 DARTMOUTH COLLEGE HY	402/  51/  /  / 	  3150/0794	$416,100	$416,100	0.87	904C	PRI SCHOOL  MDL-94	RD	1	2021	$256,900	$159,200	$416,100	$100,000	06/10/2005	$30,000	08/30/2002	$195,900	$119,000	$314,900	$195,900	$119,000	$314,900	20:14:28	566
355	215 DARTMOUTH COLLEGE HY	402/  57/  /  / 	  2440/0567	$330,300	$330,300	122.4	9200	NON PROFIT  MDL-00	RD	1	2021	$0	$330,300	$330,300	$0	07/30/1999	$6,476	08/11/1992	$0	$279,100	$279,100	$0	$279,100	$279,100	20:14:29	567
348	173 DARTMOUTH COLLEGE HY	402/  53/  /  / 	  3545/0975	$436,800	$436,800	3.18	1010	SINGLE FAM MDL01	RD	1	2021	$287,400	$149,400	$436,800	$0	08/29/2008	$251,000	10/30/2003	$301,800	$115,500	$417,300	$301,800	$115,500	$417,300	20:14:29	568
349	183 DARTMOUTH COLLEGE HY	402/  54/  /  / 	  1946/0430	$102,600	$102,600	37.3	9200	NON PROFIT  MDL-00	RD	1	2021	$0	$102,600	$102,600	$4,000	12/31/1991			$0	$93,300	$93,300	$0	$93,300	$93,300	20:14:30	569
100542	85 DARTMOUTH COLLEGE HY #6010	401/  55/  601/  / 	  2619/0495	$473,800	$473,800	0.00	1021	CONDO NL  MDL-05	BD	1	2021	$473,800	$0	$473,800	$336,000	01/03/2002	$326,500	12/19/2000	$429,200	$0	$429,200	$429,200	$0	$429,200	20:14:31	570
351	211 DARTMOUTH COLLEGE HY	402/  56/  /  / 	 00302/0580	$433,600	$433,600	3.1	1010	SINGLE FAM MDL01	RD	1	2021	$284,700	$148,900	$433,600	$510,000	07/10/2006	$220,000	04/17/1996	$276,100	$115,000	$391,100	$276,100	$115,000	$391,100	20:14:32	571
100543	85 DARTMOUTH COLLEGE HY #8010	401/  55/  801/  / 	  4385/0646	$543,400	$543,400	0.00	1021	CONDO NL  MDL-05	BD	1	2021	$543,400	$0	$543,400	$500,000	08/31/2018	$470,000	02/14/2003	$496,700	$0	$496,700	$496,700	$0	$496,700	20:14:33	572
100562	85 DARTMOUTH COLLEGE HY #9010	401/  55/  901/  / 	  4281/0681	$427,400	$427,400	0.00	1021	CONDO NL  MDL-05	BD	2	2021	$427,400	$0	$427,400	$399,000	05/03/2017	$392,000	10/01/2003	$393,600	$0	$393,600	$393,600	$0	$393,600	20:14:34	573
100563	85 DARTMOUTH COLLEGE HY #9020	401/  55/  902/  / 	  4366/0325	$340,300	$340,300	0.00	1021	CONDO NL  MDL-05	BD	1	2021	$340,300	$0	$340,300	$359,000	06/11/2018	$295,000	07/15/2014	$313,300	$0	$313,300	$313,300	$0	$313,300	20:14:35	574
1127	239 GOOSE POND RD	410/  64/  /  / 	  1467/0966	$170,400	$354,600	30	1060	AC LND IMP	RD	1	2021	$50,200	$304,400	$354,600	$0	04/04/1983			$39,800	$123,100	$162,900	$39,800	$264,200	$304,000	20:14:35	575
1129	97 PICO RD	410/  66/  /  / 	  4040/0176	$100	$107,900	3.6	6335	OTUNR-5	RD	1	2021	$0	$107,900	$107,900	$0	02/10/2014			$0	$100	$100	$0	$71,800	$71,800	20:14:36	576
1131	252 GOOSE POND RD	410/  68/  /  / 	  3664/0236	$173,300	$392,300	64.37	1010	SINGLE FAM MDL01	RD	1	2021	$54,200	$338,100	$392,300	$320,000	11/23/2009	$5,500	07/03/1964	$30,900	$91,200	$122,100	$30,900	$289,900	$320,800	20:14:37	577
1132	240 GOOSE POND RD	410/  69/  /  / 	  1467/0966	$769,500	$1,140,200	79	1010	SINGLE FAM MDL01	RD	1	2021	$605,600	$534,600	$1,140,200	$0	04/04/1983			$529,300	$142,800	$672,100	$529,300	$479,100	$1,008,400	20:14:38	578
1133	216 GOOSE POND RD	410/  70/  /  / 	  3785/0429	$232,500	$232,500	6.7	1010	SINGLE FAM MDL01	RD	1	2021	$121,200	$111,300	$232,500	$175,500	04/08/2011	$92,000	09/03/1996	$85,800	$88,100	$173,900	$85,800	$88,100	$173,900	20:14:39	579
1137	176 GOOSE POND RD	410/  74/  /  / 	  1553/0914	$101,500	$101,500	0.6	1030	MOBILE HOM  MDL-02	RD	1	2021	$26,500	$75,000	$101,500	$25,000	07/23/1985			$12,800	$62,700	$75,500	$12,800	$62,700	$75,500	20:14:39	580
1138	174 GOOSE POND RD	410/  75/  /  / 	  3569/0737	$86,500	$86,500	0.17	1010	SINGLE FAM MDL01	RD	1	2021	$40,000	$46,500	$86,500	$139,000	12/09/2008			$32,600	$36,700	$69,300	$32,600	$36,700	$69,300	20:14:40	581
1140	321 BAKER HILL RD	410/  77/  /  / 	  4178/ 499	$418,900	$418,900	2.89	1010	SINGLE FAM MDL01	RD	1	2021	$275,600	$143,300	$418,900	$0	12/15/2015	$288,000	01/15/2004	$211,300	$84,300	$295,600	$211,300	$84,300	$295,600	20:14:41	582
1141	327 BAKER HILL RD	410/  78/  /  / 	  4178/ 499	$3,300	$3,300	0.76	1320	RES ACLNUD	RD	1	2021	$0	$3,300	$3,300	$0	12/15/2015	$288,000	01/15/2004	$0	$3,000	$3,000	$0	$3,000	$3,000	20:14:42	583
1142	331 BAKER HILL RD	410/  79/  /  / 	  4635/ 438	$220,100	$220,100	7.9	1030	MOBILE HOM  MDL-02	RD	1	2021	$68,200	$151,900	$220,100	$2,800	05/25/2021	$146,000	06/28/2013	$61,500	$96,900	$158,400	$61,500	$96,900	$158,400	20:14:43	584
1144	347 BAKER HILL RD	410/  80/  /  / 	  4528/ 957	$528,900	$646,400	40.8	1010	SINGLE FAM MDL01	RD	1	2021	$380,000	$266,400	$646,400	$606,700	06/19/2020	$526,000	11/14/2017	$395,700	$121,000	$516,700	$395,700	$305,400	$701,100	20:14:44	585
1149	311 GOOSE POND RD	411/  4/  /  / 	002672/0796	$335,600	$441,600	24	1010	SINGLE FAM MDL01	RD	1	2021	$165,700	$275,900	$441,600	$2,666	05/24/2002	$184,000	07/15/1997	$127,500	$130,200	$257,700	$127,500	$226,300	$353,800	20:14:45	586
1150	333 GOOSE POND RD	411/  5/  /  / 	  4445/ 491	$385,800	$385,800	7.4	1010	SINGLE FAM MDL01	RD	1	2021	$195,100	$190,700	$385,800	$375,000	06/25/2019	$360,000	12/17/2010	$217,700	$164,100	$381,800	$217,700	$164,100	$381,800	20:14:46	587
850	88 POST POND LN	408/  13/  /  / 	 	$185,700	$185,700	0.31	1013	SFR WATER  MDL-01	RD	1	2021	$33,500	$152,200	$185,700	$0				$45,400	$99,500	$144,900	$45,400	$99,500	$144,900	20:14:47	588
851	86 POST POND LN	408/  14/  /  / 	 	$48,000	$158,000	36	1060	AC LND IMP	RD	1	2021	$1,500	$156,500	$158,000	$0				$1,400	$38,000	$39,400	$1,400	$140,300	$141,700	20:14:47	589
852	108 POST POND LN	408/  15/  /  / 	  3497/0908	$174,600	$174,600	0.20	1013	SFR WATER  MDL-01	RD	1	2021	$35,100	$139,500	$174,600	$107,000	03/11/2008			$45,000	$85,400	$130,400	$45,000	$85,400	$130,400	20:14:48	590
853	110 POST POND LN	408/  16/  /  / 	  3231/0744	$204,500	$204,500	0.15	1013	SFR WATER  MDL-01	RD	1	2021	$79,000	$125,500	$204,500	$0	12/06/2005			$104,000	$64,000	$168,000	$104,000	$64,000	$168,000	20:14:49	591
855	114 POST POND LN	408/  18/  /  / 	  4576/ 498	$171,600	$171,600	0.25	1013	SFR WATER  MDL-01	RD	1	2021	$42,800	$128,800	$171,600	$175,000	11/18/2020	$45,000	06/27/1997	$52,900	$77,600	$130,500	$52,900	$77,600	$130,500	20:14:50	592
858	60 MASA MOREY LN	408/  21/  /  / 	  4383/0491	$8,700	$290,600	38.5	6516	FARMR-6	RD	1	2021	$0	$290,600	$290,600	$400,000	08/23/2018			$0	$8,700	$8,700	$0	$266,300	$266,300	20:14:51	593
860	42 ORFORD RD	408/  23/  /  / 	  3651/0923	$7,000	$422,400	76.4	6234	HWUNR-4	RD	1	2021	$0	$422,400	$422,400	$0	09/28/2009			$0	$7,000	$7,000	$0	$359,700	$359,700	20:14:52	594
861	24 ORFORD RD	408/  24/  /  / 	  1965/0976	$342,600	$342,600	1.6	1010	SINGLE FAM MDL01	RD	1	2021	$203,600	$139,000	$342,600	$0	05/11/1992	$19,000	06/12/1972	$217,300	$106,000	$323,300	$217,300	$106,000	$323,300	20:14:53	595
862	16 ORFORD RD	408/  25/  /  / 	  1557/0186	$1,048,600	$1,048,600	8.97	920C	NON PROFIT  MDL-94	RD	1	2021	$714,500	$334,100	$1,048,600	$0				$750,000	$273,400	$1,023,400	$750,000	$273,400	$1,023,400	20:14:53	596
863	21 SPRING HILL LN	408/  26/  /  / 	  2253/ 229	$300	$165,600	8.84	6335	OTUNR-5	RD	1	2021	$0	$165,600	$165,600	$835,000	05/30/1997	$10,000	01/31/1997	$0	$300	$300	$0	$123,700	$123,700	20:14:54	597
864	24 SPRING HILL LN	408/  27/  /  / 	  2253/ 229	$300	$156,600	8.74	6335	OTUNR-5	LCD	1	2021	$0	$156,600	$156,600	$835,000	05/30/1997	$10,000	01/31/1997	$0	$300	$300	$0	$115,500	$115,500	20:14:55	598
865	60 SPRING HILL LN	408/  28/  /  / 	  2253/ 229	$1,142,000	$1,281,600	43.79	1010	SINGLE FAM MDL01	RD	1	2021	$913,800	$367,800	$1,281,600	$835,000	05/30/1997	$100,000	10/12/1989	$722,900	$360,000	$1,082,900	$722,900	$486,600	$1,209,500	20:14:58	599
867	60 ROCKY HILL LN	408/  29/  /  / 	  3826/0809	$1,697,000	$1,873,500	42.50	1090	MULTI HSES	RD	3	2021	$1,064,900	$808,600	$1,873,500	$1,500,000	10/13/2011	$925,048	08/14/1991	$1,013,800	$592,200	$1,606,000	$1,013,800	$752,400	$1,766,200	20:14:59	600
868	45 DORCHESTER RD	408/  30/  /  / 	  3522/0112	$491,800	$583,600	25.95	1010	SINGLE FAM MDL01	LCD	1	2021	$314,000	$269,600	$583,600	$595,000	05/30/2008	$240,000	06/10/1986	$306,200	$141,600	$447,800	$306,200	$224,700	$530,900	20:14:59	601
869	53 DORCHESTER RD	408/  31/  /  / 	  4662/ 861	$365,300	$365,300	4.29	1010	SINGLE FAM MDL01	LCD	1	2021	$209,700	$155,600	$365,300	$345,000	08/27/2021	$4,000	12/29/1987	$163,800	$126,000	$289,800	$163,800	$126,000	$289,800	20:15:00	602
871	61 DORCHESTER RD	408/  33/  /  / 	  4199/0453	$548,600	$548,600	7.7	1010	SINGLE FAM MDL01	RD	1	2021	$367,100	$181,500	$548,600	$0	04/13/2016	$55,895	12/06/1989	$313,200	$182,700	$495,900	$313,200	$182,700	$495,900	20:15:01	603
872	63 DORCHESTER RD	408/  34/  /  / 	  2090/0463	$600,600	$687,200	20.20	1090	MULTI HSES	RD	2	2021	$397,900	$289,300	$687,200	$240,000	05/10/1994	$40,000	12/22/1987	$411,800	$141,500	$553,300	$411,800	$220,100	$631,900	20:15:02	604
873	30 CITADEL LN	408/  35/  /  / 	  4253/0813	$841,100	$1,313,300	141.00	1090	MULTI HSES	RD	3	2021	$525,300	$788,000	$1,313,300	$825,000	01/19/2017			$504,500	$320,300	$824,800	$504,500	$749,800	$1,254,300	20:15:03	605
874	18 CITADEL LN	408/  36/  /  / 	  4593/  84	$446,700	$446,700	9.4	1010	SINGLE FAM MDL01	RD	1	2021	$146,500	$300,200	$446,700	$0	01/11/2021	$394,000	07/24/2019	$117,400	$287,800	$405,200	$117,400	$287,800	$405,200	20:15:04	606
876	57 FRANKLIN HILL RD	408/  38/  /  / 	  4406/03301	$451,400	$540,400	16.85	1010	SINGLE FAM MDL01	RD	1	2021	$187,900	$352,500	$540,400	$425,000	12/11/2018			$157,300	$247,200	$404,500	$157,300	$327,700	$485,000	20:15:05	607
878	83 FRANKLIN HILL RD	408/  40/  /  / 	  4526/ 612	$662,000	$791,700	16	1010	SINGLE FAM MDL01	RD	1	2021	$325,900	$465,800	$791,700	$500,000	06/11/2020	$285,000	07/18/1996	$294,700	$221,600	$516,300	$294,700	$339,300	$634,000	20:15:06	608
879	7 HORTON LN	408/  41/  /  / 	  1090/0175	$348,000	$401,600	14.9	1010	SINGLE FAM MDL01	RD	1	2021	$183,200	$218,400	$401,600	$0				$167,000	$130,600	$297,600	$167,000	$179,100	$346,100	20:15:07	609
880	11 HORTON LN	408/  42/  /  / 	  4217/0999	$566,000	$608,700	11.69	1010	SINGLE FAM MDL01		1	2021	$384,400	$224,300	$608,700	$0	06/29/2016	$170,000	12/30/2014	$345,800	$160,000	$505,800	$345,800	$198,700	$544,500	20:15:08	610
100265	207 ORFORD RD	407/  53/  2000/  / 	  4385/0342	$635,000	$635,000	6.87	1010	SINGLE FAM MDL01		1	2021	$431,900	$203,100	$635,000	$520,000	08/30/2018	$115,000	04/29/2004	$345,400	$170,500	$515,900	$345,400	$170,500	$515,900	20:15:09	611
100302	54 BAKER HILL RD	409/  81/  /  / 	  3719/0681	$469,900	$469,900	4.13	1010	SINGLE FAM MDL01	SFR	1	2021	$263,600	$206,300	$469,900	$379,000	07/30/2010	$62,000	05/17/1993	$221,900	$159,500	$381,400	$221,900	$159,500	$381,400	20:15:09	612
959	173 DORCHESTER RD	409/  12/  2000/  / 	  3700/0590	$341,700	$341,700	0.34	1010	SINGLE FAM MDL01	LCD	1	2021	$229,100	$112,600	$341,700	$120,000	05/12/2010	$12,381	08/17/1993	$201,500	$106,300	$307,800	$201,500	$106,300	$307,800	20:15:10	613
326	188 DARTMOUTH COLLEGE HY	402/  32/  /  / 	002827/0527	$507,900	$507,900	2.26	1090	MULTI HSES		2	2021	$327,800	$180,100	$507,900	$474,000	05/29/2003	$248,400	10/03/2002	$338,700	$138,200	$476,900	$338,700	$138,200	$476,900	20:15:11	614
327	180 DARTMOUTH COLLEGE HY	402/  33/  /  / 	  4283/0905	$397,600	$397,600	4.3	1010	SINGLE FAM MDL01	RD	1	2021	$244,400	$153,200	$397,600	$105,000	05/15/2017	$110,000	03/28/2014	$166,900	$103,600	$270,500	$166,900	$103,600	$270,500	20:15:12	615
328	174 DARTMOUTH COLLEGE HY	402/  34/  /  / 	  4519/0079	$339,800	$339,800	2.9	1010	SINGLE FAM MDL01	RD	2	2021	$178,800	$161,000	$339,800	$0	05/13/2020	$369,000	11/21/2018	$201,300	$124,200	$325,500	$201,300	$124,200	$325,500	20:15:13	616
329	166 DARTMOUTH COLLEGE HY	402/  35/  /  / 	  3489/0943	$224,000	$224,000	0.47	1010	SINGLE FAM MDL01	RD	1	2021	$130,800	$93,200	$224,000	$200,000	02/08/2008	$125,000	12/07/2006	$105,000	$83,900	$188,900	$105,000	$83,900	$188,900	20:15:14	617
330	156 DARTMOUTH COLLEGE HY	402/  36/  /  / 	  1750/ 617	$362,000	$429,200	13.9	1010	SINGLE FAM MDL01		1	2021	$228,000	$201,200	$429,200	$48,839	07/15/1988			$176,300	$100,700	$277,000	$176,300	$161,800	$338,100	20:15:15	618
331	150 DARTMOUTH COLLEGE HY	402/  37/  /  / 	  2976/0847	$194,300	$194,300	1.5	1010	SINGLE FAM MDL01	RD	1	2021	$62,500	$131,800	$194,300	$0	04/05/2004	$10,000	03/01/2004	$75,800	$95,300	$171,100	$75,800	$95,300	$171,100	20:15:15	619
333	39 SHOESTRAP RD (OLD DUMP)	402/  39/  /  / 	 	$15,700	$15,700	1.8	9035	TOWN-PROP	RD	1	2021	$0	$15,700	$15,700	$0				$0	$12,100	$12,100	$0	$12,100	$12,100	20:15:16	620
1151	349 GOOSE POND RD	411/  6/  /  / 	  1448/0590	$347,500	$347,500	135	9000	US GOVT	RD	1	2021	$0	$347,500	$347,500	$0				$0	$299,700	$299,700	$0	$299,700	$299,700	20:15:17	621
1152	371 GOOSE POND RD	411/  7/  /  / 	 	$4,800	$311,600	59.98	6334	OTUNR-4	RD	1	2021	$0	$311,600	$311,600	$0				$0	$4,800	$4,800	$0	$260,400	$260,400	20:15:18	622
1154	354 GOOSE POND RD	411/  9/  /  / 	  1418/0867	$100,400	$100,400	5.4	9000	US GOVT	RD	1	2021	$0	$100,400	$100,400	$0				$0	$79,000	$79,000	$0	$79,000	$79,000	20:15:19	623
1155	334 GOOSE POND RD	411/  10/  /  / 	  3765/0365	$1,100	$217,300	17	6235	HWUNR-5	RD	1	2021	$0	$217,300	$217,300	$0	01/06/2011			$0	$1,100	$1,100	$0	$168,200	$168,200	20:15:20	624
1156	322 GOOSE POND RD	411/  11/  /  / 	  4123/0285	$492,800	$564,700	15	1010	SINGLE FAM MDL01	RD	1	2021	$343,100	$221,600	$564,700	$0	04/27/2015	$20,500	09/23/1977	$333,100	$114,000	$447,100	$333,100	$179,300	$512,400	20:15:21	625
1157	310 GOOSE POND RD	411/  12/  /  / 	  2549/0310	$202,200	$255,400	11.3	1010	SINGLE FAM MDL01	RD	1	2021	$77,200	$178,200	$255,400	$0	05/29/2001			$87,100	$95,500	$182,600	$87,100	$143,800	$230,900	20:15:22	626
1158	290 GOOSE POND RD	411/  13/  /  / 	  4182/ 565	$4,400	$304,500	37	6135	WPUNR-5	RD	1	2021	$0	$304,500	$304,500	$325,000	01/06/2016	$200,000	06/20/2006	$0	$4,400	$4,400	$0	$249,000	$249,000	20:15:22	627
1163	330 GRAFTON TK	412/  2/  /  / 	  4263/0357	$3,600	$205,000	55	6235	HWUNR-5	MFD	1	2021	$0	$205,000	$205,000	$0	01/17/2017			$0	$3,600	$3,600	$0	$172,600	$172,600	20:15:23	628
1164	280 GRAFTON TK	412/  3/  /  / 	  3848/0046	$102,500	$2,792,500	2076	6335	OTUNR-5	MFD	1	2021	$0	$2,792,500	$2,792,500	$0	12/30/2011	$2,150,000	09/06/2006	$0	$102,500	$102,500	$0	$2,526,900	$2,526,900	20:15:24	629
1166	107 GRAFTON TK	413/  2/  /  / 	  2325/0588	$337,300	$337,300	7	1010	SINGLE FAM MDL01	ELD	1	2021	$182,400	$154,900	$337,300	$85,000	07/01/1998			$191,000	$121,100	$312,100	$191,000	$121,100	$312,100	20:15:25	630
1167	117 GRAFTON TK	413/  3/  /  / 	  1459/0219	$296,600	$296,600	5.8	1010	SINGLE FAM MDL01	ELD	1	2021	$154,000	$142,600	$296,600	$0				$132,500	$111,500	$244,000	$132,500	$111,500	$244,000	20:15:26	631
1170	139 GRAFTON TK	413/  6/  /  / 	  1661/ 695	$433,300	$561,400	27.3	1010	SINGLE FAM MDL01	ELD	1	2021	$261,600	$299,800	$561,400	$100,000	04/16/1987			$274,400	$143,000	$417,400	$274,400	$259,300	$533,700	20:15:27	632
1173	210 GRAFTON TPK	413/  9/  /  / 	  1397/0757	$182,300	$316,600	66	1010	SINGLE FAM MDL01	ELD	1	2021	$58,600	$258,000	$316,600	$0				$52,300	$45,300	$97,600	$52,300	$167,000	$219,300	20:15:28	633
1177	21 TYLER HILL RD	413/  10/  /  / 	  4068/ 0339	$13,700	$324,600	286	6232	HWUNR-2	MFD	1	2021	$0	$324,600	$324,600	$257,467	07/07/2014			$0	$13,700	$13,700	$0	$292,700	$292,700	20:15:29	634
954	167 DORCHESTER RD	409/  10/  /  / 	  3294/0105	$290,800	$290,800	0.82	1010	SINGLE FAM MDL01		1	2021	$134,700	$156,100	$290,800	$0	06/08/2006	$120,000	09/13/1996	$128,500	$135,400	$263,900	$128,500	$135,400	$263,900	20:15:30	635
