PID	Street Address	MBLU	Assessment	Appraisal	Lot Size (acres)	Land Use Code	Description	Zoning District	# Buildings	Year	Improvements	Land	Total	
436	311 RIVER RD	403/  19/  /  / 	$202,500	$202,500	0.37	1030	MOBILE HOM  MDL-02	RD	1	2016	$37,300	$165,200	$202,500	09:57:00	330
437	315 RIVER RD	403/  20/  /  / 	$773,500	$773,500	0.92	1093	MLTI HS WF	RD	2	2016	$475,100	$298,400	$773,500	09:57:03	331
438	319 RIVER RD	403/  21/  /  / 	$486,800	$486,800	0.69	1040	TWO FAMILY	RD	1	2016	$254,000	$232,800	$486,800	09:57:07	332
440	327 RIVER RD	403/  23/  /  / 	$222,900	$222,900	0.58	1013	SFR WATER  MDL-01	RD	1	2016	$43,900	$179,000	$222,900	09:57:11	333
441	331 RIVER RD	403/  24/  /  / 	$729,000	$729,000	3.7	1093	MLTI HS WF	RD	2	2016	$382,300	$346,700	$729,000	09:57:13	334
442	339 RIVER RD	403/  25/  /  / 	$402,800	$402,800	0.66	1010	SINGLE FAM MDL01		2	2016	$240,600	$162,200	$402,800	09:57:15	335
446	376 RIVER RD	403/  29/  1000/  / 	$736,200	$1,262,300	93.05	1010	SINGLE FAM MDL01	RD	1	2016	$433,400	$828,900	$1,262,300	09:57:17	336
447	37 LAMPHIRE HILL LN	403/  30/  /  / 	$398,000	$398,000	4.93	1010	SINGLE FAM MDL01	RD	1	2016	$151,800	$246,200	$398,000	09:57:21	337
448	41 LAMPHIRE HILL LN	403/  31/  /  / 	$567,100	$614,300	16	1010	SINGLE FAM MDL01	RD	1	2016	$379,100	$235,200	$614,300	09:57:24	338
450	70 LAMPHIRE HILL LN	403/  33/  /  / 	$879,900	$1,477,400	392.20	1090	MULTI HSES	RD	2	2016	$483,000	$994,400	$1,477,400	09:57:27	339
453	Problem loading parcel PID 453
454	34 LAMPHIRE HILL LN	403/  37/  /  / 	$687,500	$1,221,500	147	1010	SINGLE FAM MDL01	RD	1	2016	$471,100	$750,400	$1,221,500	09:57:31	341
457	360 RIVER RD	403/  40/  /  / 	$959,700	$1,125,900	34.94	1010	SINGLE FAM MDL01	RD	1	2016	$666,000	$459,900	$1,125,900	09:57:35	342
458	336 RIVER RD	403/  41/  /  / 	$475,100	$475,100	5.1	1010	SINGLE FAM MDL01	RD	1	2016	$239,700	$235,400	$475,100	09:57:36	343
459	330 RIVER RD	403/  42/  /  / 	$441,700	$441,700	4.48	1010	SINGLE FAM MDL01	RD	1	2016	$235,200	$206,500	$441,700	09:57:40	344
460	120 EAST THETFORD RD	403/  43/  /  / 	$558,600	$628,400	28.1	1010	SINGLE FAM MDL01	RD	1	2016	$391,500	$236,900	$628,400	09:57:42	345
461	106 EAST THETFORD RD	403/  44/  /  / 	$477,500	$549,000	22	1010	SINGLE FAM MDL01	RD	1	2016	$299,300	$249,700	$549,000	09:57:44	346
462	84 EAST THETFORD RD	403/  45/  /  / 	$557,500	$605,800	13.00	1040	TWO FAMILY	RD	2	2016	$438,100	$167,700	$605,800	09:57:48	347
463	72 EAST THETFORD RD	403/  46/  /  / 	$4,200	$295,500	30.68	6516	FARMR-6	RD	1	2016	$0	$295,500	$295,500	09:57:52	348
465	7 RECORDRIDGE LN	403/  47/  /  / 	$12,300	$195,500	36.2	6516	FARMR-6	RD	1	2016	$0	$195,500	$195,500	09:57:55	349
469	15 RECORDRIDGE LN	403/  48/  /  / 	$839,600	$839,600	10.2	1010	SINGLE FAM MDL01	RD	1	2016	$598,800	$240,800	$839,600	09:57:56	350
472	26 RECORDRIDGE LN	403/  51/  /  / 	$741,300	$801,500	14.9	1010	SINGLE FAM MDL01	RD	1	2016	$586,900	$214,600	$801,500	09:58:00	351
473	24 RECORDRIDGE LN	403/  52/  /  / 	$613,500	$613,500	10.4	1010	SINGLE FAM MDL01	RD	1	2016	$427,400	$186,100	$613,500	09:58:03	352
474	20 RECORDRIDGE LN	403/  53/  /  / 	$499,200	$499,200	5.7	1010	SINGLE FAM MDL01		1	2016	$322,500	$176,700	$499,200	09:58:07	353
475	18 EAST THETFORD RD	403/  54/  /  / 	$660,500	$809,400	40.70	1040	TWO FAMILY	RD	1	2016	$492,300	$317,100	$809,400	09:58:08	354
476	23 STORRS HILL LN	404/  1/  /  / 	$416,700	$606,700	37.4	1010	SINGLE FAM MDL01	RD	1	2016	$261,600	$345,100	$606,700	09:58:10	355
478	46 STORRS HILL LN	404/  3/  /  / 	$425,200	$724,800	215	1040	TWO FAMILY	RD	1	2016	$218,200	$506,600	$724,800	09:58:12	356
479	28 STORRS HILL LN	404/  4/  /  / 	$1,034,200	$1,307,500	103	1010	SINGLE FAM MDL01	RD	1	2016	$724,800	$582,700	$1,307,500	09:58:15	357
480	97 NORTH THETFORD RD	404/  5/  /  / 	$311,700	$375,000	13.2	1010	SINGLE FAM MDL01	RD	1	2016	$182,700	$192,300	$375,000	09:58:17	358
482	105 NORTH THETFORD RD	404/  7/  /  / 	$424,800	$492,100	15	1010	SINGLE FAM MDL01	RD	1	2016	$302,700	$189,400	$492,100	09:58:20	359
483	111 NORTH THETFORD RD	404/  8/  /  / 	$600	$600	0.06	1320	RES ACLNUD	RD	1	2016	$0	$600	$600	09:58:23	360
484	131 NORTH THETFORD RD	404/  9/  /  / 	$551,500	$551,500	2.3	1010	SINGLE FAM MDL01	RD	1	2016	$387,300	$164,200	$551,500	09:58:27	361
486	161 NORTH THETFORD RD	404/  11/  /  / 	$466,000	$466,000	8.16	1110	APT 4-UNT  MDL-01	RD	1	2016	$269,200	$196,800	$466,000	09:58:31	362
487	175 NORTH THETFORD RD	404/  12/  /  / 	$325,500	$325,500	1.84	1010	SINGLE FAM MDL01	RD	1	2016	$163,300	$162,200	$325,500	09:58:35	363
488	534 RIVER RD	404/  13/  /  / 	$493,200	$493,200	1.78	1010	SINGLE FAM MDL01	RD	1	2016	$228,000	$265,200	$493,200	09:58:37	364
490	526 RIVER RD	404/  15/  /  / 	$445,100	$445,100	0.98	1010	SINGLE FAM MDL01	RD	1	2016	$195,900	$249,200	$445,100	09:58:41	365
492	520 RIVER RD	404/  17/  /  / 	$257,800	$257,800	5.83	1010	SINGLE FAM MDL01	RD	1	2016	$112,200	$145,600	$257,800	09:58:44	366
493	498 RIVER RD	404/  18/  /  / 	$662,900	$1,050,200	66.1	1010	SINGLE FAM MDL01	RD	1	2016	$367,000	$683,200	$1,050,200	09:58:47	367
494	474 RIVER RD	404/  19/  /  / 	$1,162,000	$1,403,800	120	1080	SFR/ACC UNIT	RD	1	2016	$888,400	$515,400	$1,403,800	09:58:51	368
495	429 RIVER RD	404/  20/  /  / 	$563,800	$563,800	7.36	1013	SFR WATER  MDL-01	RD	1	2016	$240,400	$323,400	$563,800	09:58:54	369
501	535 RIVER RD	404/  26/  /  / 	$224,200	$224,200	0.96	1013	SFR WATER  MDL-01	RD	1	2016	$65,000	$159,200	$224,200	09:58:57	370
506	21 GREGORY RD	404/  31/  /  / 	$805,100	$805,100	9	1010	SINGLE FAM MDL01		1	2016	$490,100	$315,000	$805,100	09:58:59	371
507	560 RIVER RD	404/  32/  /  / 	$513,900	$845,500	122.50	1090	MULTI HSES	RD	4	2016	$283,000	$562,500	$845,500	09:59:03	372
509	25 BRECK HILL RD	404/  34/  /  / 	$576,200	$576,200	1.7	1010	SINGLE FAM MDL01	RD	1	2016	$346,600	$229,600	$576,200	09:59:05	373
510	7 GREGORY RD	404/  35/  /  / 	$651,600	$732,600	13.2	1010	SINGLE FAM MDL01	RD	1	2016	$383,700	$348,900	$732,600	09:59:07	374
512	40 BRECK HILL RD	404/  37/  /  / 	$10,200	$212,700	35.34	6506	FARM-6	RD	1	2016	$0	$212,700	$212,700	09:59:09	375
513	34 BRECK HILL RD	404/  38/  /  / 	$482,800	$482,800	5.4	1010	SINGLE FAM MDL01		1	2016	$233,800	$249,000	$482,800	09:59:12	376
514	30 BRECK HILL RD	404/  39/  /  / 	$632,900	$703,900	14.46	1010	SINGLE FAM MDL01	RD	1	2016	$330,700	$373,200	$703,900	09:59:16	377
515	24 BRECK HILL RD	404/  40/  /  / 	$337,300	$337,300	2.7	1010	SINGLE FAM MDL01	RD	1	2016	$156,900	$180,400	$337,300	09:59:18	378
517	2 BRECK HILL RD	404/  42/  /  / 	$450,300	$541,200	16.4	1040	TWO FAMILY	RD	1	2016	$279,200	$262,000	$541,200	09:59:20	379
519	108 NORTH THETFORD RD	404/  44/  /  / 	$249,700	$249,700	2.2	1010	SINGLE FAM MDL01	RD	1	2016	$124,600	$125,100	$249,700	09:59:23	380
102765	Problem loading parcel PID 102765
520	100 NORTH THETFORD RD	404/  45/  /  / 	$556,700	$556,700	3.8	1010	SINGLE FAM MDL01	RD	1	2016	$392,700	$164,000	$556,700	09:59:28	382
522	88 NORTH THETFORD RD	404/  47/  /  / 	$234,700	$234,700	2	1010	SINGLE FAM MDL01	RD	1	2016	$118,100	$116,600	$234,700	09:59:31	383
526	74 NORTH THETFORD RD	404/  48/  1000/  / 	$268,200	$268,200	6.23	1010	SINGLE FAM MDL01	RD	1	2016	$112,300	$155,900	$268,200	09:59:34	384
527	68 NORTH THETFORD RD	404/  48/  2000/  / 	$508,600	$508,600	5.78	1010	SINGLE FAM MDL01		1	2016	$342,300	$166,300	$508,600	09:59:36	385
530	59 BRECK HILL RD	405/  2/  /  / 	$744,400	$754,700	6.91	1010	SINGLE FAM MDL01	RD	1	2016	$496,700	$258,000	$754,700	09:59:39	386
102732	172 GOOSE POND RD	410/  76/  /  / 	$79,300	$79,300	0.46	1030	MOBILE HOM  MDL-02	RD	1	2016	$16,600	$62,700	$79,300	09:59:43	387
529	43 BRECK HILL RD	405/  1/  /  / 	$283,400	$283,400	2.92	1010	SINGLE FAM MDL01	RD	1	2016	$138,200	$145,200	$283,400	09:59:45	388
639	10 TAVERN LN	406/  36/  /  / 	$1,766,900	$1,996,400	75.00	1010	SINGLE FAM MDL01	RD	3	2016	$1,516,800	$479,600	$1,996,400	09:59:46	389
625	280 ORFORD RD	406/  22/  1000/  / 	$774,900	$774,900	7.24	1010	SINGLE FAM MDL01	RD	1	2016	$583,700	$191,200	$774,900	09:59:49	390
532	89 BRECK HILL RD	405/  4/  /  / 	$215,100	$215,100	5.07	1010	SINGLE FAM MDL01	RD	1	2016	$54,400	$160,700	$215,100	09:59:52	391
533	99 BRECK HILL RD	405/  5/  /  / 	$756,800	$822,000	14.53	1010	SINGLE FAM MDL01	RD	1	2016	$497,900	$324,100	$822,000	09:59:53	392
643	105 ORFORD RD (LAND ONLY)	407/  4/  /  / 	$37,000	$37,000	2.2	9035	TOWN-PROP	RD	1	2016	$0	$37,000	$37,000	09:59:55	393
648	41 POST POND LN	407/  9/  /  / 	$1,324,400	$1,324,400	2.2	1013	SFR WATER  MDL-01	RD	1	2016	$685,900	$638,500	$1,324,400	09:59:59	394
538	133 BRECK HILL RD	405/  9/  /  / 	$513,700	$589,700	18.29	1010	SINGLE FAM MDL01		1	2016	$336,800	$252,900	$589,700	10:00:03	395
540	722 RIVER RD	405/  11/  /  / 	$444,400	$549,900	23.2	1010	SINGLE FAM MDL01	RD	1	2016	$244,500	$305,400	$549,900	10:00:07	396
542	668 RIVER RD	405/  13/  /  / 	$295,200	$295,200	1.8	1010	SINGLE FAM MDL01	RD	1	2016	$164,900	$130,300	$295,200	10:00:09	397
543	664 RIVER RD	405/  14/  /  / 	$1,400	$44,300	13.64	1320	RES ACLNUD	RD	1	2016	$0	$44,300	$44,300	10:00:11	398
544	658 RIVER RD	405/  15/  /  / 	$161,400	$161,400	1.2	1030	MOBILE HOM  MDL-02	RD	1	2016	$47,900	$113,500	$161,400	10:00:12	399
545	652+654 RIVER RD	405/  16/  /  / 	$197,300	$197,300	0.98	1010	SINGLE FAM MDL01	RD	1	2016	$86,300	$111,000	$197,300	10:00:15	400
546	644 RIVER RD	405/  17/  /  / 	$240,800	$286,300	14.7	1010	SINGLE FAM MDL01	RD	1	2016	$107,900	$178,400	$286,300	10:00:17	401
547	642 RIVER RD	405/  18/  /  / 	$325,600	$325,600	5.59	1010	SINGLE FAM MDL01	RD	1	2016	$168,900	$156,700	$325,600	10:00:20	402
102814	111 ORFORD RD (REC AREA)	407/  5/  1000/  / 	$320,900	$320,900	11.8	9030	MUNICPAL  MDL-00	RD	1	2016	$42,600	$278,300	$320,900	10:00:24	403
552	614 RIVER RD	405/  21/  /  / 	$121,700	$251,000	41	1060	AC LND IMP	RD	1	2016	$3,500	$247,500	$251,000	10:00:27	404
102815	115 ORFORD RD (CHAFFEE)	407/  5/  2000/  / 	$114,900	$114,900	21.02	9035	TOWN-PROP	RD	1	2016	$0	$114,900	$114,900	10:00:30	405
557	610 RIVER RD	405/  22/  1000/  / 	$242,600	$242,600	8.9	1010	SINGLE FAM MDL01		1	2016	$91,600	$151,000	$242,600	10:00:33	406
558	608 RIVER RD	405/  22/  2000/  / 	$177,700	$177,700	2.4	1030	MOBILE HOM  MDL-02	RD	1	2016	$50,400	$127,300	$177,700	10:00:36	407
559	10 GREGORY RD	405/  23/  /  / 	$437,100	$535,900	11.50	1010	SINGLE FAM MDL01	RD	1	2016	$257,700	$278,200	$535,900	10:00:37	408
560	591 RIVER RD	405/  24/  /  / 	$252,200	$252,200	1.6	1010	SINGLE FAM MDL01	RD	1	2016	$123,500	$128,700	$252,200	10:00:41	409
561	597 RIVER RD (PORTER CEMETERY	405/  25/  /  / 	$11,900	$11,900	0.36	9035	TOWN-PROP		1	2016	$0	$11,900	$11,900	10:00:44	410
102834	67  ACORN HILL RD	408/  63/  /  / 	$1,054,600	$1,214,200	32.13	1010	SINGLE FAM MDL01	RD	1	2016	$756,800	$457,400	$1,214,200	10:00:48	411
563	609 RIVER RD	405/  27/  /  / 	$503,800	$503,800	7.6	1013	SFR WATER  MDL-01	RD	1	2016	$299,500	$204,300	$503,800	10:00:49	412
564	625 RIVER RD	405/  28/  /  / 	$712,100	$971,800	54.6	1013	SFR WATER  MDL-01	RD	1	2016	$421,500	$550,300	$971,800	10:00:52	413
565	639 RIVER RD	405/  29/  /  / 	$444,100	$506,200	21	1010	SINGLE FAM MDL01	RD	1	2016	$256,000	$250,200	$506,200	10:00:53	414
102874	177  GRAFTON TPK	413/  8/  /  / 	$3,800	$176,900	71	6324	OTUN-4	ELD	1	2016	$0	$176,900	$176,900	10:00:55	415
102766	616 RIVER RD	405/  20/  /  / 	$322,900	$322,900	1.8	1010	SINGLE FAM MDL01	RD	1	2016	$169,600	$153,300	$322,900	10:01:00	416
102875	520  DORCHESTER RD	420/  27/  /  / 	$13,700	$718,400	370	6115	WPMR-5	ELD	1	2016	$0	$718,400	$718,400	10:01:02	417
102768	29 HIGH ST	201/  128/  2000/  / 	$83,800	$83,800	2.77	1300	RES ACLNDV	LCD	1	2016	$0	$83,800	$83,800	10:01:03	418
102916	94 NORTH THETFORD RD	404/  46/  /  / 	$25,000	$238,600	62	6505	FARM-5	RD	1	2016	$0	$238,600	$238,600	10:01:05	419
1049	116 DORCHESTER RD	409/  94/  /  / 	$161,500	$161,500	17	1010	SINGLE FAM MDL01	RD	2	2016	$28,800	$132,700	$161,500	10:01:06	420
1051	98 DORCHESTER RD	409/  95/  /  / 	$180,900	$180,900	4.4	1030	MOBILE HOM  MDL-02	RD	1	2016	$66,800	$114,100	$180,900	10:01:09	421
1052	72 DORCHESTER RD	409/  96/  /  / 	$167,600	$281,000	23.3	1010	SINGLE FAM MDL01	RD	1	2016	$73,500	$207,500	$281,000	10:01:12	422
1053	136 WASHBURN HILL RD	409/  98/  /  / 	$1,146,000	$1,795,600	249.3	1010	SINGLE FAM MDL01	RD	1	2016	$779,800	$1,015,800	$1,795,600	10:01:15	423
1054	92 WASHBURN HILL RD	409/  99/  /  / 	$1,576,100	$1,935,300	84	1010	SINGLE FAM MDL01	RD	1	2016	$1,158,900	$776,400	$1,935,300	10:01:16	424
1055	100 EAST ST	409/  100/  /  / 	$16,900	$199,100	113	6124	WPUN-4	RD	1	2016	$0	$199,100	$199,100	10:01:20	425
1057	60 EAST ST	410/  2/  /  / 	$1,700	$64,800	28.4	6224	HWUN-4	RD	1	2016	$0	$64,800	$64,800	10:01:22	426
1060	232 BAKER HILL RD	410/  5/  /  / 	$913,900	$1,128,100	44.4	1010	SINGLE FAM MDL01	RD	1	2016	$766,000	$362,100	$1,128,100	10:01:24	427
804	66 HIGHBRIDGE RD	407/  113/  /  / 	$535,100	$726,600	47.70	1090	MULTI HSES	RD	2	2016	$364,800	$361,800	$726,600	10:01:28	428
806	42 HIGHBRIDGE RD	407/  114/  /  / 	$724,800	$840,700	21.30	1010	SINGLE FAM MDL01	RD	1	2016	$545,900	$294,800	$840,700	10:01:32	429
807	41 HIGHBRIDGE RD	407/  115/  /  / 	$14,500	$628,800	205	6335	OTUNR-5	RD	1	2016	$0	$628,800	$628,800	10:01:35	430
808	53 HIGHBRIDGE RD	407/  116/  /  / 	$390,100	$390,100	6.4	1010	SINGLE FAM MDL01	RD	1	2016	$227,400	$162,700	$390,100	10:01:37	431
809	65 HIGHBRIDGE RD	407/  117/  /  / 	$326,100	$326,100	5.09	1010	SINGLE FAM MDL01	RD	1	2016	$157,100	$169,000	$326,100	10:01:41	432
810	85 HIGHBRIDGE RD	407/  118/  /  / 	$1,042,500	$1,155,400	16.45	1010	SINGLE FAM MDL01	RD	1	2016	$780,200	$375,200	$1,155,400	10:01:44	433
811	95 HIGHBRIDGE RD	407/  119/  /  / 	$206,100	$331,000	29.92	1060	AC LND IMP	RD	1	2016	$15,100	$315,900	$331,000	10:01:47	434
812	124 PINNACLE RD	407/  120/  /  / 	$314,800	$382,500	13.89	1010	SINGLE FAM MDL01	RD	1	2016	$207,600	$174,900	$382,500	10:01:50	435
814	1 CUTTING HILL LN	407/  122/  /  / 	$668,600	$668,600	2.3	1010	SINGLE FAM MDL01	RD	1	2016	$513,600	$155,000	$668,600	10:01:53	436
815	11 CUTTING HILL LN	407/  123/  /  / 	$535,800	$535,800	10	1090	MULTI HSES	RD	2	2016	$334,900	$200,900	$535,800	10:01:56	437
820	19 CUTTING HILL LN	407/  125/  1000/  / 	$1,047,200	$1,111,400	12.50	1010	SINGLE FAM MDL01	RD	1	2016	$839,700	$271,700	$1,111,400	10:01:57	438
821	47 HIGHBRIDGE RD	407/  125/  2000/  / 	$1,300	$200,300	21.6	6236	HWUNR-6		1	2016	$0	$200,300	$200,300	10:01:59	439
824	98 PINNACLE RD	407/  128/  /  / 	$177,800	$177,800	10	1010	SINGLE FAM MDL01	RD	1	2016	$31,300	$146,500	$177,800	10:02:01	440
826	7 MASA MOREY LN	407/  130/  /  / 	$431,500	$523,400	29.8	1010	SINGLE FAM MDL01	RD	1	2016	$278,700	$244,700	$523,400	10:02:04	441
827	43 MASA MOREY LN	407/  131/  /  / 	$1,259,800	$1,562,600	85.15	1090	MULTI HSES	RD	2	2016	$728,500	$834,100	$1,562,600	10:02:06	442
829	64 PINNACLE RD	407/  133/  /  / 	$535,900	$592,900	19.00	1010	SINGLE FAM MDL01	RD	3	2016	$325,300	$267,600	$592,900	10:02:07	443
830	50 PINNACLE RD	407/  134/  /  / 	$226,800	$226,800	0.89	1010	SINGLE FAM MDL01	RD	1	2016	$133,400	$93,400	$226,800	10:02:11	444
831	24 PINNACLE RD	407/  135/  /  / 	$1,753,300	$1,753,300	38.1	1090	MULTI HSES		3	2016	$1,092,100	$661,200	$1,753,300	10:02:14	445
834	4 PINNACLE RD	407/  138/  /  / 	$250,800	$250,800	0.69	1010	SINGLE FAM MDL01	RD	1	2016	$150,100	$100,700	$250,800	10:02:16	446
594	68 BRECK HILL RD	405/  47/  /  / 	$684,200	$716,700	8.01	1010	SINGLE FAM MDL01		1	2016	$459,400	$257,300	$716,700	10:02:20	447
597	52 BRECK HILL RD	405/  50/  /  / 	$912,100	$1,000,100	15.25	1010	SINGLE FAM MDL01	RD	1	2016	$623,600	$376,500	$1,000,100	10:02:22	448
598	263 ORFORD RD (LAND ONLY)	406/  1/  /  / 	$30,000	$30,000	8.8	9035	TOWN-PROP	RD	1	2016	$0	$30,000	$30,000	10:02:25	449
600	301 ORFORD RD	406/  3/  /  / 	$247,200	$247,200	3.5	1010	SINGLE FAM MDL01		1	2016	$137,600	$109,600	$247,200	10:02:28	450
603	385 ORFORD RD	406/  6/  /  / 	$20,600	$254,000	64	6515	FARMR-5	RD	1	2016	$0	$254,000	$254,000	10:02:32	451
605	393 ORFORD RD	406/  8/  /  / 	$292,500	$292,500	0.9	1010	SINGLE FAM MDL01	RD	1	2016	$192,500	$100,000	$292,500	10:02:34	452
607	396 ORFORD RD	406/  10/  /  / 	$369,800	$369,800	2.5	0101	Single Fam	RD	2	2016	$236,400	$133,400	$369,800	10:02:38	453
611	394 ORFORD RD	406/  11/  /  / 	$751,700	$1,017,600	130	1010	SINGLE FAM MDL01		1	2016	$600,800	$416,800	$1,017,600	10:02:42	454
102644	HORTON LN	408/  44/  /  / 	$20,100	$121,500	25	1010	SINGLE FAM MDL01	RD	1	2016	$8,300	$113,200	$121,500	10:02:46	455
617	368 ORFORD RD	406/  14/  /  / 	$260,700	$260,700	5.81	1010	SINGLE FAM MDL01	RD	1	2016	$133,900	$126,800	$260,700	10:02:48	456
618	346 ORFORD RD	406/  15/  /  / 	$227,400	$313,300	59	1010	SINGLE FAM MDL01	RD	2	2016	$89,400	$223,900	$313,300	10:02:51	457
620	344 ORFORD RD	406/  17/  /  / 	$6,900	$63,800	85.1	6123	WPUN-3	RD	1	2016	$0	$63,800	$63,800	10:02:56	458
621	328 ORFORD RD	406/  18/  /  / 	$221,400	$276,700	17.3	1010	SINGLE FAM MDL01	RD	1	2016	$107,100	$169,600	$276,700	10:03:00	459
622	320 ORFORD RD	406/  19/  /  / 	$204,800	$204,800	1.75	1010	SINGLE FAM MDL01	RD	1	2016	$94,200	$110,600	$204,800	10:03:03	460
102736	25 LAMPHIRE HILL LN	403/  29/  2000/  / 	$586,900	$654,600	13.99	1010	SINGLE FAM MDL01	RD	1	2016	$394,900	$259,700	$654,600	10:03:06	461
623	314 ORFORD RD	406/  20/  /  / 	$162,300	$218,600	20	1010	SINGLE FAM MDL01	RD	1	2016	$63,100	$155,500	$218,600	10:03:09	462
624	302 ORFORD RD	406/  21/  /  / 	$405,500	$536,200	42	0101	Single Fam	RD	2	2016	$281,600	$254,600	$536,200	10:03:12	463
626	264 ORFORD RD	406/  23/  /  / 	$493,400	$582,700	46.89	1010	SINGLE FAM MDL01		1	2016	$317,100	$265,600	$582,700	10:03:14	464
627	129 CULVER HILL LN	406/  24/  /  / 	$1,100	$29,800	33	6710	UNPRODUCTIVE-REC		1	2016	$0	$29,800	$29,800	10:03:15	465
633	85 ORFORDVILLE RD (TOWN FORE	406/  30/  /  / 	$521,100	$521,100	355	9035	TOWN-PROP	RD	1	2016	$0	$521,100	$521,100	10:03:19	466
634	111 MUD TURTLE POND RD	406/  31/  /  / 	$7,700	$260,700	207	6213	HWMR-3	RD	1	2016	$0	$260,700	$260,700	10:03:22	467
635	121 MUD TURTLE POND RD	406/  32/  /  / 	$2,900	$2,900	0.96	1320	RES ACLNUD	RD	1	2016	$0	$2,900	$2,900	10:03:24	468
637	135 MUD TURTLE POND RD	406/  34/  /  / 	$272,100	$272,100	2	1010	SINGLE FAM MDL01	RD	1	2016	$224,000	$48,100	$272,100	10:03:28	469
638	132+4 MUD TURTLE POND RD	406/  35/  /  / 	$359,700	$468,900	57	1090	MULTI HSES	RD	2	2016	$267,000	$201,900	$468,900	10:03:30	470
645	149 ORFORD RD	407/  6/  /  / 	$342,100	$342,100	2.1	1010	SINGLE FAM MDL01	RD	1	2016	$240,600	$101,500	$342,100	10:03:33	471
647	31 POST POND LN	407/  8/  /  / 	$207,400	$254,600	11.6	1013	SFR WATER  MDL-01	RD	1	2016	$21,600	$233,000	$254,600	10:03:36	472
650	47 POST POND LN	407/  11/  /  / 	$409,900	$409,900	0.39	1013	SFR WATER  MDL-01	RD	1	2016	$187,900	$222,000	$409,900	10:03:40	473
651	49 POST POND LN	407/  12/  /  / 	$425,200	$425,200	0.52	1013	SFR WATER  MDL-01	RD	2	2016	$180,700	$244,500	$425,200	10:03:43	474
652	51 POST POND LN	407/  13/  /  / 	$186,500	$186,500	0.18	1013	SFR WATER  MDL-01	RD	1	2016	$32,100	$154,400	$186,500	10:03:46	475
654	55 POST POND LN	407/  15/  /  / 	$277,500	$375,400	50.65	1013	SFR WATER  MDL-01	RD	1	2016	$80,800	$294,600	$375,400	10:03:49	476
655	57 POST POND LN	407/  16/  /  / 	$696,900	$696,900	1.31	1013	SFR WATER  MDL-01	RD	1	2016	$421,300	$275,600	$696,900	10:03:52	477
656	Problem loading parcel PID 656
664	67 POST POND LN	407/  20/  /  / 	$177,100	$177,100	0.52	1013	SFR WATER  MDL-01	RD	1	2016	$69,800	$107,300	$177,100	10:03:59	479
667	69 POST POND LN	407/  21/  /  / 	$87,300	$87,300	0.15	1013	SFR WATER  MDL-01	RD	1	2016	$21,800	$65,500	$87,300	10:04:01	480
675	62 POST POND LN	407/  23/  /  / 	$10,300	$47,600	17.04	1320	RES ACLNUD	RD	1	2016	$0	$47,600	$47,600	10:04:05	481
686	50 POST POND LN	407/  26/  /  / 	$10,500	$10,500	4.2	9200	NON PROFIT  MDL-00	RD	1	2016	$0	$10,500	$10,500	10:04:08	482
688	32 POST POND LN	407/  28/  /  / 	$52,300	$52,300	0.43	1060	AC LND IMP	RD	1	2016	$2,300	$50,000	$52,300	10:04:10	483
1469	637 DORCHESTER RD (LAND ONLY)	421/  1/  /  / 	$70,600	$70,600	0.37	9035	TOWN-PROP	ELD	1	2016	$0	$70,600	$70,600	10:04:11	484
1471	641 DORCHESTER RD	421/  3/  /  / 	$80,300	$80,300	0.47	1013	SFR WATER  MDL-01	ELD	1	2016	$13,000	$67,300	$80,300	10:04:15	485
1472	643 DORCHESTER RD	421/  4/  /  / 	$200,500	$200,500	1.43	1013	SFR WATER  MDL-01	ELD	1	2016	$44,100	$156,400	$200,500	10:04:16	486
1473	645 DORCHESTER RD	421/  5/  /  / 	$326,800	$366,900	16.14	1013	SFR WATER  MDL-01	ELD	3	2016	$165,800	$201,100	$366,900	10:04:20	487
1475	651 DORCHESTER RD	421/  7/  /  / 	$172,200	$203,800	16.32	1013	SFR WATER  MDL-01	ELD	1	2016	$46,200	$157,600	$203,800	10:04:22	488
1477	658 DORCHESTER RD	421/  9/  /  / 	$185,700	$185,700	1.91	1010	SINGLE FAM MDL01	ELD	1	2016	$79,700	$106,000	$185,700	10:04:25	489
101182	89 WASHBURN HILL RD	402/  1/  2000/  / 	$656,900	$656,900	7.92	1010	SINGLE FAM MDL01	RD	1	2016	$363,200	$293,700	$656,900	10:04:29	490
1484	41 OLD DORCHESTER RD	421/  16/  /  / 	$210,900	$210,900	3.67	1010	SINGLE FAM MDL01	ELD	1	2016	$87,300	$123,600	$210,900	10:04:32	491
1485	636 DORCHESTER RD	421/  17/  /  / 	$268,400	$268,400	6.94	1010	SINGLE FAM MDL01	MFD	1	2016	$120,000	$148,400	$268,400	10:04:36	492
1486	50 OLD DORCHESTER RD	421/  18/  /  / 	$354,400	$509,500	76.33	1010	SINGLE FAM MDL01	ELD	1	2016	$256,300	$253,200	$509,500	10:04:39	493
1488	680 DORCHESTER RD	421/  20/  /  / 	$11,200	$296,300	222	6233	HWUNR-3	MFD	1	2016	$0	$296,300	$296,300	10:04:42	494
1489	700 DORCHESTER RD	421/  21/  /  / 	$6,400	$277,900	207.33	6213	HWMR-3	MFD	1	2016	$0	$277,900	$277,900	10:04:45	495
292	294 DARTMOUTH COLLEGE HY	402/  1/  1000/  / 	$454,300	$812,600	86.00	1010	SINGLE FAM MDL01	RD	3	2016	$317,300	$495,300	$812,600	10:04:47	496
